City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Qui Nhon,VN,76.8,scattered clouds,13.77,109.23,Hoang Yen Canary Hotel
214,Fortuna,US,64.92,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
216,Bosaso,SO,80.2,clear sky,11.28,49.18,Red Sea Hotel
217,Douentza,ML,89.04,overcast clouds,15.0,-2.95,Ogomono Doumbo
218,Dingle,PH,80.26,overcast clouds,11.0,122.67,SEGAYA PROPERTY
219,Port Hedland,AU,80.65,clear sky,-20.32,118.57,The Esplanade Hotel
221,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
224,Mittagong,AU,62.01,clear sky,-34.45,150.45,Mittagong Motel
225,Loveland,US,61.25,clear sky,40.4,-105.08,La Quinta Inn & Suites by Wyndham Loveland
226,Cayenne,GF,82.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
231,San Patricio,US,75.29,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
232,San Jose,US,66.11,broken clouds,37.34,-121.89,The Westin San Jose
236,Puerto Escondido,MX,77.83,thunderstorm,15.85,-97.07,Aldea del Bazar Hotel and Spa
237,Shingu,JP,67.19,overcast clouds,33.73,135.98,Shingu UI Hotel
240,Los Llanos De Aridane,ES,64.15,clear sky,28.66,-17.92,Valle Aridane
241,Pozoblanco,ES,61.38,overcast clouds,38.38,-4.85,Hotel Nomada
242,Colares,PT,68.99,overcast clouds,38.8,-9.45,Arribas Sintra Hotel
243,Camacha,PT,69.22,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
246,Kahului,US,85.26,clear sky,20.89,-156.47,Maui Seaside Hotel
254,Bossangoa,CF,71.38,scattered clouds,6.49,17.46,NDILBO PRINCE HÉRITIER
255,Xinan,CN,65.05,scattered clouds,26.72,119.86,昌雄大酒店
258,Luangwa,ZM,75.15,clear sky,-15.62,30.42,Gerasimos Safari Lodge
261,Galle,LK,76.91,broken clouds,6.04,80.22,Amangalla
262,Axim,GH,78.46,broken clouds,4.87,-2.24,Axim Beach Resort And Spa
264,Alyangula,AU,86.65,broken clouds,-13.85,136.42,Groote Eylandt Lodge
266,Luwuk,ID,82.72,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
267,Mudgal,IN,71.96,overcast clouds,16.02,76.43,PRINCE TYERS
268,Cabrobo,BR,86.31,few clouds,-8.51,-39.31,Hotel Limarques
269,San Policarpo,PH,83.03,broken clouds,12.18,125.51,Agapita M. Nicart
270,Bardiyah,LY,69.84,clear sky,31.76,25.09,بورتو بردية
272,Manado,ID,75.97,thunderstorm with light rain,1.49,124.85,Aryaduta Hotel
274,Tanabe,JP,67.21,broken clouds,33.73,135.37,美吉屋旅館
275,Meiganga,CM,66.96,overcast clouds,6.52,14.3,DFR HOUSE
277,Portland,US,60.84,few clouds,45.52,-122.68,The Bidwell Marriott Portland
278,Asyut,EG,81.1,overcast clouds,27.18,31.18,Florence Hotel Assiut
281,Cap Malheureux,MU,70.47,clear sky,-19.98,57.61,Pereybere Hotel & Spa
285,Vao,NC,71.47,clear sky,-22.67,167.48,Hotel Kou-Bugny
287,Emerald,AU,91.98,scattered clouds,-23.53,148.17,The Irish Village
288,Pacifica,US,65.26,broken clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
289,Sur,OM,79.52,clear sky,22.57,59.53,Sur Plaza Hotel
290,Camiri,BO,75.61,light rain,-20.05,-63.52,J R Hotel
292,Airai,TL,70.86,scattered clouds,-8.93,125.41,Juvinal Martin
295,Sao Filipe,CV,80.28,overcast clouds,14.9,-24.5,Hotel Xaguate
298,Trinidad,BO,84.07,scattered clouds,-14.83,-64.9,Hotel Piesta
300,Mineiros,BR,72.23,light rain,-17.57,-52.55,Pilões Palace Hotel
301,Tabas,IR,64.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
302,Tual,ID,83.3,broken clouds,-5.67,132.75,Grand Vilia Hotel
303,Takoradi,GH,78.04,overcast clouds,4.88,-1.76,Raybow International Hotel
305,Lompoc,US,71.13,mist,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
306,Dedza,MW,64.17,clear sky,-14.38,34.33,Dedza Pottery and Lodge
307,Xapuri,BR,85.69,broken clouds,-10.65,-68.5,Restaurante Viana
309,Hualmay,PE,63.81,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
310,Santa Lucia,ES,60.12,few clouds,27.91,-15.54,Las Tirajanas
312,Rantepao,ID,74.25,overcast clouds,-2.97,119.9,Hotel Luta Resort
313,Coahuayana,MX,80.82,few clouds,18.73,-103.68,El rranchito michuacan de ocampos
314,Pimenteiras,BR,84.4,scattered clouds,-6.25,-41.42,Hotel rotativo pimentas
316,Oranjestad,AW,82.35,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
317,Katsuura,JP,64.11,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
318,San Pedro,PH,86.32,scattered clouds,14.35,121.02,Villa Veronica Resort Private Pool
320,Luganville,VU,84.0,few clouds,-15.53,167.17,The Espiritu Hotel
321,Pauini,BR,79.05,broken clouds,-7.71,-66.98,Casa do Kiwliks
323,Belaguntha,IN,73.38,overcast clouds,19.88,84.65,ଗୋପାଳ ସମାଜ ସଭା ଗୃହ
324,Cockburn Town,TC,80.56,scattered clouds,21.46,-71.14,Osprey Beach Hotel
325,Fuling,CN,60.91,overcast clouds,29.7,107.39,Yingbin Hostel
327,Narasannapeta,IN,75.16,scattered clouds,18.42,84.05,Home .
328,Zhicheng,CN,62.08,light rain,30.3,111.5,Wangjiang Building
329,Ixtapa,MX,84.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
330,Kharan,PK,64.74,clear sky,28.58,65.42,Ghani Hasrat House
331,Mehran,IR,78.28,overcast clouds,33.12,46.16,بوتیک زنانه بهار
333,San Roque,ES,72.41,broken clouds,36.21,-5.38,Hotel Guadacorte Park
336,Foumban,CM,64.15,broken clouds,5.73,10.9,Hotel Pekassa De Karche
339,Mildura,AU,68.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
341,Ajdabiya,LY,66.65,scattered clouds,30.76,20.23,محل افطومه اللملابس نساء وأطفال
342,Quatre Cocos,MU,70.09,scattered clouds,-20.21,57.76,Sunrise Attitude Hotel
346,Shimoda,JP,62.71,moderate rain,34.67,138.95,Shimoda Tokyu Hotel
348,Jiangkou,CN,69.69,scattered clouds,25.49,119.2,DFM Hotel
349,Vila Franca Do Campo,PT,74.19,overcast clouds,37.72,-25.43,Pestana Bahia Praia
350,Kutum,SD,73.06,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
353,Andapa,MG,67.95,overcast clouds,-14.65,49.65,Ramanandraibe Andapa
354,Loandjili,CG,76.84,moderate rain,-4.76,11.86,Résidence ARCHANGE
356,Rosetta,EG,71.67,overcast clouds,31.4,30.42,Green Valley
358,Lorengau,PG,83.25,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
362,Hambantota,LK,78.67,broken clouds,6.12,81.12,Bungalow 63
365,Sri Aman,MY,78.85,few clouds,1.24,111.46,Seri Simanggang Hotel
367,Baculin,PH,83.44,broken clouds,7.45,126.58,Baculin Cove Beach Resort
371,Lata,PT,67.93,overcast clouds,40.16,-8.33,Casa Maquia
372,Surt,LY,71.69,overcast clouds,31.21,16.59,مقر سكني في سرت
373,Pinhao,BR,60.26,overcast clouds,-25.7,-51.66,Pinhão Park Hotel
375,Marigot,MF,82.18,few clouds,18.07,-63.08,Royal Palm Beach Resort
376,Pakokku,MM,75.63,clear sky,21.33,95.1,Royal Palace Motel
377,Port Blair,IN,78.84,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
380,Berekua,DM,79.84,broken clouds,15.23,-61.32,CarRod's Cottages
381,Kaliganj,BD,69.75,scattered clouds,23.41,89.14,Hasnat Palace
382,Manokwari,ID,82.78,light rain,-0.87,134.08,Swiss Belhotel Manokwari
383,Anito,PH,81.46,overcast clouds,12.45,125.29,FELIPA LAODENIO PROPERTY
384,Tonota,BW,74.86,broken clouds,-21.48,27.48,Semotswane Baraka Lodge
385,Bairiki,KI,87.8,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
387,Camana,PE,66.83,broken clouds,-16.62,-72.71,Hostal Morales
388,Ternate,ID,82.54,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
389,Kindu,CD,69.39,light rain,-2.95,25.95,Résidence Okanda
393,Noumea,NC,84.18,clear sky,-22.28,166.46,Hôtel Le Lagon
396,Port Moresby,PG,87.22,scattered clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
398,Trincomalee,LK,80.11,overcast clouds,8.57,81.23,Welcombe Hotel
403,Umm Lajj,SA,83.41,scattered clouds,25.02,37.27,Moon light Furnished Units
409,Miri,MY,82.54,few clouds,4.41,114.01,"Mega Hotel, Miri"
410,Chake Chake,TZ,74.89,scattered clouds,-5.25,39.77,Hotel Archipelago
411,Kununurra,AU,87.78,scattered clouds,-15.77,128.73,Hotel Kununurra
413,Castro,BR,60.17,light rain,-24.79,-50.01,CHACARA BAILLY
414,Tuy Hoa,VN,77.04,scattered clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
416,Ahipara,NZ,62.69,overcast clouds,-35.17,173.17,Ahipara Holiday Park
418,Maumere,ID,83.53,overcast clouds,-8.62,122.21,Sylvia Hotel
422,Ladario,BR,77.68,broken clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
423,Padampur,IN,70.54,clear sky,29.68,73.62,Platinum resort
