City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
46,Tuktoyaktuk,CA,69.45,-133.04,14.0,92,75,8.05,broken clouds
47,Mount Isa,AU,-20.73,139.50,85.77,19,90,13.8,overcast clouds
48,Dikson,RU,73.51,80.55,6.89,91,100,15.88,overcast clouds
49,Ankpa,NG,7.37,7.63,74.03,86,100,3.51,overcast clouds
50,Komsomolskiy,UZ,40.43,71.72,42.22,70,100,4.61,overcast clouds
51,Avarua,CK,-21.21,-159.78,78.85,53,94,13.8,overcast clouds
52,Albany,US,42.60,-73.97,56.75,93,96,2.48,overcast clouds
53,Zhigansk,RU,66.77,123.37,3.22,91,100,23.33,overcast clouds
54,Leningradskiy,RU,69.38,178.42,0.16,95,99,6.24,overcast clouds
55,Anadyr,RU,64.75,177.48,7.3,84,90,21.99,snow
56,Bredasdorp,ZA,-34.53,20.04,59.29,88,48,2.3,scattered clouds
57,Yurga,RU,55.72,84.89,26.08,61,100,9.98,overcast clouds
58,Baykit,RU,61.67,96.37,16.57,85,99,10.27,overcast clouds
59,Zelenoborskiy,RU,66.84,32.36,37.35,99,100,4.83,light rain
60,Tura,IN,25.52,90.22,62.02,62,0,2.08,clear sky
61,Georgetown,MY,5.41,100.34,78.89,89,40,5.75,scattered clouds
62,Nyrob,RU,60.73,56.72,27.27,97,100,1.88,overcast clouds
63,Atuona,PF,-9.80,-139.03,78.21,67,4,11.61,clear sky
64,Upernavik,GL,72.79,-56.15,27.82,65,100,11.54,overcast clouds
65,Troitsko-Pechorsk,RU,62.71,56.20,22.01,98,100,2.59,overcast clouds
66,Ilulissat,GL,69.22,-51.10,35.62,80,75,19.57,light rain
67,Vaini,TO,-21.20,-175.20,80.76,83,40,11.5,scattered clouds
68,Coromandel,BR,-18.47,-47.20,65.73,92,91,11.3,overcast clouds
69,Ambilobe,MG,-13.20,49.05,73.89,85,75,2.08,light rain
70,Morgaushi,RU,55.96,46.77,42.96,96,100,10.02,overcast clouds
71,Natchitoches,US,31.77,-93.13,59.36,82,1,0.0,clear sky
72,Iqaluit,CA,63.75,-68.51,37.13,74,90,18.01,light rain
73,Bayshore Gardens,US,27.43,-82.59,73.0,67,75,6.91,broken clouds
74,Coquimbo,CL,-29.95,-71.34,55.13,94,20,9.22,few clouds
75,Pangnirtung,CA,66.15,-65.71,32.52,99,100,9.19,snow
76,Sun Valley,US,39.60,-119.78,66.58,42,75,5.01,broken clouds
77,Severo-Kurilsk,RU,50.68,156.12,41.9,79,88,14.7,overcast clouds
78,Fairbanks,US,64.84,-147.72,43.14,56,1,10.36,clear sky
79,Changli,CN,39.70,119.15,51.03,76,72,10.6,broken clouds
80,Mount Gambier,AU,-37.83,140.77,58.87,51,9,6.38,clear sky
81,Shymkent,KZ,42.30,69.60,41.59,87,100,0.0,mist
82,Mahebourg,MU,-20.41,57.70,70.25,94,40,5.75,scattered clouds
83,Kashan,IR,33.98,51.44,62.71,48,32,1.57,scattered clouds
84,Bandarbeyla,SO,9.49,50.81,78.84,78,67,9.89,broken clouds
85,Kargopol,RU,61.51,38.95,40.93,95,93,7.27,overcast clouds
86,Thinadhoo,MV,0.53,72.93,82.89,76,68,20.07,broken clouds
87,Staraya Poltavka,RU,50.48,46.48,42.13,74,4,7.02,clear sky
88,Claveria,PH,18.61,121.08,80.2,72,55,11.88,broken clouds
89,Kourou,GF,5.16,-52.65,82.11,84,22,4.9,few clouds
90,Banjar,ID,-8.19,114.97,80.46,79,99,0.69,overcast clouds
91,Dunmore Town,BS,25.50,-76.65,81.5,65,76,18.79,broken clouds
